Algeria,Argélia,DZA
Argentina,Argentina,ARG
Australia,Austrália,AUS
Austria,Áustria,AUT
Belgium,Bélgica,BEL
Bosnia & Herzegovina,Bósnia e Herzegovina,BIH
Brazil,Brasil,BRA
Canada,Canadá,CAN
Cape Verde,Cabo Verde,CPV
Colombia,Colômbia,COL
Croatia,Croácia,HRV
Curaçao,Curaçao,CUW
Czech Republic,República Tcheca,CZE
DR Congo,República Democrática do Congo,COD
Ecuador,Equador,ECU
Egypt,Egito,EGY
England,Inglaterra,ENG
France,França,FRA
Germany,Alemanha,DEU
Ghana,Gana,GHA
Haiti,Haiti,HTI
Iran,Irã,IRN
Iraq,Iraque,IRQ
Ivory Coast,Costa do Marfim,CIV
Japan,Japão,JPN
Jordan,Jordânia,JOR
Mexico,México,MEX
Morocco,Marrocos,MAR
Netherlands,Países Baixos,NLD
New Zealand,Nova Zelândia,NZL
Norway,Noruega,NOR
Panama,Panamá,PAN
Paraguay,Paraguai,PRY
Portugal,Portugal,PRT
Qatar,Qatar,QAT
Saudi Arabia,Arábia Saudita,SAU
Scotland,Escócia,SCO
Senegal,Senegal,SEN
South Africa,África do Sul,ZAF
South Korea,Coreia do Sul,KOR
Spain,Espanha,ESP
Sweden,Suécia,SWE
Switzerland,Suíça,CHE
Tunisia,Tunísia,TUN
Turkey,Turquia,TUR
USA,Estados Unidos,USA
Uruguay,Uruguai,URY
Uzbekistan,Uzbequistão,UZB
